ID,Email,Password,Type,Target_1,Result_1,Target_2,Result_2,Expected Result Note,Note
TC-002-001,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@test.com,1.23457E+14,success,https://sweetshop.netlify.app/00efc23d-b605-4f31-b97b-6bb276de447e.html,,,,Login successfully,BVA Nominal - Email 128 chars
TC-002-002,a@,1.23457E+14,one_field_invalid,xpath=(.//*[normalize-space(text()) and normalize-space(.)='Email address'])[1]/following::div[1],Please enter a valid email address.,,,Email not valid,BVA email min-
TC-002-003,a@a,1.23457E+14,success,https://sweetshop.netlify.app/00efc23d-b605-4f31-b97b-6bb276de447e.html,,,,Login successfully,BVA email min (chap nhan ten mien ngan)
TC-002-004,ab@c,1.23457E+14,success,https://sweetshop.netlify.app/00efc23d-b605-4f31-b97b-6bb276de447e.html,,,,Login successfully,BVA email min+
TC-002-005,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@test.com,1.23457E+14,success,https://sweetshop.netlify.app/00efc23d-b605-4f31-b97b-6bb276de447e.html,,,,Login successfully,BVA email max- (255 chars)
TC-002-006,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@test.com,1.23457E+14,success,https://sweetshop.netlify.app/00efc23d-b605-4f31-b97b-6bb276de447e.html,,,,Login successfully,BVA email max (256 chars)
TC-002-007,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@test.com,,one_field_limit,id=exampleInputEmail@maxlength,255,,,Email length is limit,BVA email max+ (Input 257 chars but blocked at 256)
TC-002-008,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@test.com,,one_field_invalid,xpath=(.//*[normalize-space(text()) and normalize-space(.)='Password'])[1]/following::div[1],Please enter a valid password.,,,Password not valid,BVA password min- (Empty Pass)
TC-002-009,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@test.com,1,success,https://sweetshop.netlify.app/00efc23d-b605-4f31-b97b-6bb276de447e.html,,,,Login successfully,BVA password min (1 char)
TC-002-010,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@test.com,12,success,https://sweetshop.netlify.app/00efc23d-b605-4f31-b97b-6bb276de447e.html,,,,Login successfully,BVA password min+ (2 chars)
